Time[sec]	Top_Inplane_Disp[mm]	Top_Outofplane_Disp[mm]	Top_Inplane_Rotation[%rad]
0	0	-0.0012834	0
0.099609375	-0.0017147	-0.004570565	3.14E-05
0.19921875	-0.003241449	-0.000830882	2.11E-05
0.298828125	-0.003623557	0.000907939	2.09E-05
0.3984375	-0.001543159	-0.001473912	1.08E-05
0.498046875	-0.003446535	0.002923915	2.01E-05
0.59765625	0.001448029	-0.001135314	2.13E-05
0.697265625	-0.000455339	-0.001545214	2.51E-05
0.796875	-0.003325752	-0.000368399	-1.70E-05
0.896484375	0.004342775	0.000749461	-1.33E-05
0.99609375	0.001877817	-0.001821142	-1.15E-05
1.095703125	-0.000795057	-0.004005227	2.14E-05
1.1953125	-0.000620184	-0.004319622	1.82E-05
1.294921875	-0.005638238	-0.001502377	1.54E-06
1.39453125	-0.001972553	0.002336153	2.00E-05
1.494140625	-0.005013226	0.00033941	4.19E-06
1.59375	0.001056636	-0.000233345	8.27E-06
1.693359375	-0.001843883	0.002450792	-4.68E-06
1.79296875	0.000329977	0.001436389	4.95E-05
1.892578125	0.000862589	-0.004349076	-1.14E-05
1.9921875	-0.000856705	-0.004340916	-1.21E-05
2.091796875	-0.000307683	0.002461852	-1.29E-05
2.19140625	-0.000856023	0.00110022	6.73E-06
2.291015625	-0.00208187	-0.000244668	-3.40E-05
2.390625	0.000676481	0.003954643	-1.69E-05
2.490234375	-0.004153455	0.002883634	-5.89E-06
2.58984375	-0.004863594	0.000692251	9.57E-06
2.689453125	-0.002709897	0.001509171	-4.26E-06
2.7890625	-0.003767479	0.002041041	1.07E-05
2.888671875	0.000279762	0.002735189	-3.14E-05
2.98828125	-0.006148958	0.000900315	2.00E-05
3.087890625	-0.001243116	-0.000132475	-8.15E-07
3.1875	-0.00027967	0.003920069	1.63E-07
3.287109375	-0.005886134	0.001829274	6.78E-06
3.38671875	-0.005550316	-0.002264098	-1.47E-06
3.486328125	-0.001510707	0.002768285	1.90E-05
3.5859375	-0.001776662	0.002644965	-3.10E-05
3.685546875	0.001029298	0.000734364	-1.01E-05
3.78515625	-0.001190144	-0.000915695	-4.20E-05
3.884765625	-0.002604341	0.006315031	1.85E-05
3.984375	-0.00174627	0.001263503	-8.61E-07
4.083984375	-0.000537991	0.003666446	1.94E-05
4.18359375	-0.005581156	0.000151885	-2.25E-05
4.283203125	-0.002451479	0.001060344	1.98E-05
4.3828125	0.001686041	0.000192762	1.96E-05
4.482421875	-0.000759132	0.003582267	1.56E-05
4.58203125	0.00046287	0.00195452	1.92E-05
4.681640625	-0.007161693	-0.003883369	1.81E-05
4.78125	-0.006387614	0.003576595	1.49E-05
4.880859375	0.000831133	0.000384666	1.22E-05
4.98046875	-0.00115242	0.003562752	1.79E-05
5.080078125	-0.004656019	-0.001428425	-3.49E-06
5.1796875	-6.00E-05	-0.001433761	-1.28E-05
5.279296875	-0.003095465	-0.000254592	-1.09E-05
5.37890625	-0.007304853	0.001535326	2.78E-05
5.478515625	-0.00479209	0.000215476	-3.81E-05
5.578125	0.000501602	0.002410359	-1.35E-05
